Date,Ver.,Comment
2026/09/01,3.0.6,バグフィックス
2026/08/27,3.0.5,集計表に合計欄を追加。起動速度を調整
2026/08/02,3.0.4,注入途中時も中断記事を登録できるよう修正
2026/06/18,3.0.3,完了/注入途中/未施工の互換性不備を修正
2026/06/16,3.0.2,注入途中(ロッド洗浄工)表示を追加
2026/06/03,3.0.1,集計表Excel出力追加
2026/05/05,3.0.0,隆起計算機能追加
2025/01/11,2.0.0,SurfaceApp Release!
2021/10/22,1.0.0,Ground Surface Manager Release!
