Date,Ver.,Comment
2025/10/07,2.0.0.1,デジタル庁町字マスターのURLを修正
2025/09/24,2.0.0.0,KenboApp Release!
2022/03/08,1.5.0.0,Gembo Checker Update! UI刷新
2021/08/21,1.0.0.0,Gembo Checker Release!
