Date,Ver.,Comment
2026/05/05,3.0.3,車両CSV読込エラー再修正
2026/04/23,3.0.2,車両CSV読込エラー再修正
2025/11/14,3.0.1,車両CSV読込エラー修正
2025/09/23,3.0.0,GemboApp Update! UI刷新
2022/12/03,2.0.0,GemboApp Release!
2014/08/11,1.0.0,GENBO Master Release!
